destination,price,start_date,end_date,travel_duration,month,airline,stops,fetched_at
"Osaka, Japan",355.0,2026-07-06,2026-07-14,1 Week,July,"AirAsia, AirAsia X, and Peach Aviation",1,2026-02-03T15:15:31.717298
"Shanghai, China",308.0,2026-07-02,2026-07-09,1 Week,July,"Spring, AirAsia, and AirAsia X",1,2026-02-03T15:15:31.717303
"Hội An, Vietnam",272.0,2026-07-02,2026-07-09,1 Week,July,Batik Air and Vietjet,1,2026-02-03T15:15:31.717307
"Bengaluru, India",206.0,2026-07-02,2026-07-08,1 Week,July,Air India and Air India Express,1,2026-02-03T15:15:31.717311
"Hạ Long Bay, Vietnam",200.0,2026-07-30,2026-08-06,1 Week,July,Scoot,0,2026-02-03T15:15:31.717316
"Abu Dhabi, United Arab Emirates",549.0,2026-07-26,2026-08-02,1 Week,July,IndiGo,1,2026-02-03T15:15:31.717320
"Chennai, India",204.0,2026-07-17,2026-07-24,1 Week,July,Scoot,0,2026-02-03T15:15:31.717324
"Varanasi, India",509.0,2026-07-06,2026-07-13,1 Week,July,Air India and Air India Express,1,2026-02-03T15:15:31.717328
"Agra, India",306.0,2026-07-13,2026-07-20,1 Week,July,"IndiGo, AirAsia, and AirAsia X",1,2026-02-03T15:15:31.717332
"Udaipur, India",500.0,2026-07-02,2026-07-08,1 Week,July,Air India,1,2026-02-03T15:15:31.717336
"Ko Samui, Thailand",341.0,2026-07-30,2026-08-06,1 Week,July,Scoot,0,2026-02-03T15:15:31.717340
"Kolkata, India",261.0,2026-07-04,2026-07-10,1 Week,July,IndiGo and AirAsia,1,2026-02-03T15:15:31.717344
"Taipei City, Taiwan",218.0,2026-07-06,2026-07-12,1 Week,July,Scoot,0,2026-02-03T15:15:31.717348
"Kochi, India",270.0,2026-07-02,2026-07-08,1 Week,July,Air India,1,2026-02-03T15:15:31.717351
"Kathmandu, Nepal",562.0,2026-07-02,2026-07-08,1 Week,July,Air India and Thai Lion Air,1,2026-02-03T15:15:31.717355
"Manila, Philippines",192.0,2026-07-02,2026-07-08,1 Week,July,Cebu Pacific,0,2026-02-03T15:15:31.717359
"Bahrain, Bahrain",1082.0,2026-07-27,2026-08-02,1 Week,July,Emirates and flydubai,1,2026-02-03T15:15:31.717363
"Macao, Macao",285.0,2026-07-05,2026-07-14,1 Week,July,Thai Lion Air,1,2026-02-03T15:15:31.717367
"Hyderabad, India",259.0,2026-07-02,2026-07-08,1 Week,July,IndiGo and AirAsia,1,2026-02-03T15:15:31.717371
"Shimla, India",306.0,2026-07-13,2026-07-20,1 Week,July,"IndiGo, AirAsia, and AirAsia X",1,2026-02-03T15:15:31.717381
"Da Nang, Vietnam",272.0,2026-07-02,2026-07-09,1 Week,July,Batik Air and Vietjet,1,2026-02-03T15:15:31.717386
"Phi Phi Islands, Thailand",143.0,2026-07-05,2026-07-11,1 Week,July,Scoot,0,2026-02-03T15:15:31.717390
"Rishikesh, India",306.0,2026-07-13,2026-07-22,1 Week,July,"IndiGo, AirAsia, and AirAsia X",1,2026-02-03T15:15:31.717394
"Manali, India",306.0,2026-07-13,2026-07-20,1 Week,July,"IndiGo, AirAsia, and AirAsia X",1,2026-02-03T15:15:31.717397
"Jodhpur, India",310.0,2026-07-02,2026-07-08,1 Week,July,Air India,1,2026-02-03T15:15:31.717401
"Munnar, India",270.0,2026-07-02,2026-07-08,1 Week,July,Air India,1,2026-02-03T15:15:31.717405
"Phú Quốc, Vietnam",201.0,2026-07-23,2026-07-29,1 Week,July,Scoot,0,2026-02-03T15:15:31.717409
"Ranthambore National Park, India",366.0,2026-07-05,2026-07-13,1 Week,July,IndiGo and Air India,1,2026-02-03T15:15:31.717413
"Colombo, Sri Lanka",308.0,2026-07-05,2026-07-11,1 Week,July,AirAsia,1,2026-02-03T15:15:31.717417
"Puducherry, India",204.0,2026-07-17,2026-07-24,1 Week,July,Scoot,0,2026-02-03T15:15:31.717423
"Sapporo, Japan",565.0,2026-07-09,2026-07-16,1 Week,July,Cathay Pacific,1,2026-02-03T15:15:31.717429
"Chengdu, China",311.0,2026-07-02,2026-07-08,1 Week,July,"AirAsia, AirAsia X, and Thai Lion Air",1,2026-02-03T15:15:31.717434
"Xi'An, China",369.0,2026-07-17,2026-07-23,1 Week,July,Thai Lion Air and Scoot,1,2026-02-03T15:15:31.717438
"Boracay, Philippines",240.0,2026-07-06,2026-07-13,1 Week,July,Cebu Pacific,1,2026-02-03T15:15:31.717442
"Cebu City, Philippines",214.0,2026-07-02,2026-07-08,1 Week,July,Cebu Pacific,0,2026-02-03T15:15:31.717446
"Kaziranga National Park, India",351.0,2026-07-02,2026-07-08,1 Week,July,Air India and Air India Express,1,2026-02-03T15:15:31.717451
"Guwahati, India",351.0,2026-07-02,2026-07-08,1 Week,July,Air India and Air India Express,1,2026-02-03T15:15:31.717454
"Tashkent, Uzbekistan",590.0,2026-07-20,2026-07-27,1 Week,July,AirAsia and AirAsia X,1,2026-02-03T15:15:31.717459
"Niseko, Japan",565.0,2026-07-09,2026-07-16,1 Week,July,Cathay Pacific,1,2026-02-03T15:15:31.717463
"Almaty, Kazakhstan",737.0,2026-07-03,2026-07-09,1 Week,July,"AirAsia, AirAsia X, Thai AirAsia, and Thai AirAsia X",1,2026-02-03T15:15:31.717466
"Guam, Guam",747.0,2026-07-02,2026-07-08,1 Week,July,Philippine Airlines,1,2026-02-03T15:15:31.717470
"Harbin, China",428.0,2026-07-03,2026-07-09,1 Week,July,China Southern and Chongqing Airlines,2,2026-02-03T15:15:31.717476
"Issyk Kul, Kyrgyzstan",737.0,2026-07-03,2026-07-09,1 Week,July,"AirAsia, AirAsia X, Thai AirAsia, and Thai AirAsia X",1,2026-02-03T15:15:31.717485
"Hong Kong, Hong Kong",290.0,2026-07-23,2026-08-06,2 Weeks,July,Scoot,0,2026-02-03T15:15:31.774450
"Hanoi, Vietnam",200.0,2026-07-02,2026-07-16,2 Weeks,July,Scoot,0,2026-02-03T15:15:31.774470
"Bangkok, Thailand",149.0,2026-07-06,2026-07-22,2 Weeks,July,Thai Lion Air,0,2026-02-03T15:15:31.774476
"Tokyo, Japan",395.0,2026-07-13,2026-07-29,2 Weeks,July,Scoot and ZIPAIR Tokyo,0,2026-02-03T15:15:31.774480
"Ho Chi Minh City, Vietnam",159.0,2026-07-02,2026-07-15,2 Weeks,July,Scoot and Vietjet,0,2026-02-03T15:15:31.774484
"Mumbai, India",209.0,2026-07-09,2026-07-22,2 Weeks,July,Air India,2,2026-02-03T15:15:31.774489
"New Delhi, India",306.0,2026-07-13,2026-07-29,2 Weeks,July,"IndiGo, AirAsia, and AirAsia X",1,2026-02-03T15:15:31.774493
"Federal Territory of Kuala Lumpur, Malaysia",98.0,2026-07-05,2026-07-18,2 Weeks,July,AirAsia,0,2026-02-03T15:15:31.774497
"Dubai, United Arab Emirates",472.0,2026-07-09,2026-07-23,2 Weeks,July,IndiGo,1,2026-02-03T15:15:31.774502
"Kyoto, Japan",355.0,2026-07-06,2026-07-21,2 Weeks,July,"AirAsia, AirAsia X, and Peach Aviation",1,2026-02-03T15:15:31.774506
"Chiang Mai, Thailand",283.0,2026-07-27,2026-08-12,2 Weeks,July,Scoot,0,2026-02-03T15:15:31.774511
"Jaipur, India",366.0,2026-07-05,2026-07-20,2 Weeks,July,IndiGo and Air India,1,2026-02-03T15:15:31.774515
"Phuket, Thailand",144.0,2026-07-13,2026-07-29,2 Weeks,July,Scoot,0,2026-02-03T15:15:31.774519
"Seoul, South Korea",296.0,2026-07-20,2026-08-05,2 Weeks,July,Scoot,0,2026-02-03T15:15:31.774523
"Goa, India",462.0,2026-07-13,2026-07-29,2 Weeks,July,Air India and Air India Express,1,2026-02-03T15:15:31.774527
"Beijing, China",392.0,2026-07-05,2026-07-21,2 Weeks,July,Royal Brunei,1,2026-02-03T15:15:31.774531
"Osaka, Japan",355.0,2026-07-06,2026-07-21,2 Weeks,July,"AirAsia, AirAsia X, and Peach Aviation",1,2026-02-03T15:15:31.774535
"Shanghai, China",308.0,2026-07-02,2026-07-15,2 Weeks,July,"Spring, AirAsia, and AirAsia X",1,2026-02-03T15:15:31.774539
"Hội An, Vietnam",272.0,2026-07-02,2026-07-15,2 Weeks,July,Batik Air and Vietjet,1,2026-02-03T15:15:31.774544
"Bengaluru, India",206.0,2026-07-02,2026-07-15,2 Weeks,July,Air India and Air India Express,1,2026-02-03T15:15:31.774548
"Hạ Long Bay, Vietnam",200.0,2026-07-30,2026-08-13,2 Weeks,July,Scoot,0,2026-02-03T15:15:31.774552
"Abu Dhabi, United Arab Emirates",472.0,2026-07-09,2026-07-23,2 Weeks,July,IndiGo,1,2026-02-03T15:15:31.774556
"Chennai, India",204.0,2026-07-24,2026-08-07,2 Weeks,July,Scoot,0,2026-02-03T15:15:31.774560
"Varanasi, India",501.0,2026-07-09,2026-07-22,2 Weeks,July,Air India and Air India Express,1,2026-02-03T15:15:31.774564
"Agra, India",306.0,2026-07-13,2026-07-29,2 Weeks,July,"IndiGo, AirAsia, and AirAsia X",1,2026-02-03T15:15:31.774568
"Ko Samui, Thailand",349.0,2026-07-23,2026-08-06,2 Weeks,July,Scoot,0,2026-02-03T15:15:31.774574
"Kolkata, India",261.0,2026-07-04,2026-07-17,2 Weeks,July,IndiGo and AirAsia,1,2026-02-03T15:15:31.774578
"Taipei City, Taiwan",218.0,2026-07-02,2026-07-16,2 Weeks,July,Scoot,0,2026-02-03T15:15:31.774583
"Kochi, India",270.0,2026-07-02,2026-07-15,2 Weeks,July,Air India,1,2026-02-03T15:15:31.774587
"Kathmandu, Nepal",558.0,2026-07-02,2026-07-15,2 Weeks,July,Air India and Thai Lion Air,1,2026-02-03T15:15:31.774591
"Manila, Philippines",192.0,2026-07-13,2026-07-29,2 Weeks,July,Cebu Pacific,0,2026-02-03T15:15:31.774595
"Bahrain, Bahrain",1082.0,2026-07-27,2026-08-09,2 Weeks,July,Emirates and flydubai,1,2026-02-03T15:15:31.774599
"Macao, Macao",285.0,2026-07-05,2026-07-21,2 Weeks,July,Thai Lion Air,1,2026-02-03T15:15:31.774603
"Hyderabad, India",259.0,2026-07-09,2026-07-22,2 Weeks,July,IndiGo and AirAsia,1,2026-02-03T15:15:31.774607
"Da Nang, Vietnam",272.0,2026-07-02,2026-07-15,2 Weeks,July,Batik Air and Vietjet,1,2026-02-03T15:15:31.774612
"Munnar, India",270.0,2026-07-02,2026-07-15,2 Weeks,July,Air India,1,2026-02-03T15:15:31.774618
"Phú Quốc, Vietnam",201.0,2026-07-09,2026-07-22,2 Weeks,July,Scoot,0,2026-02-03T15:15:31.774623
"Ranthambore National Park, India",366.0,2026-07-05,2026-07-20,2 Weeks,July,IndiGo and Air India,1,2026-02-03T15:15:31.774627
"Colombo, Sri Lanka",308.0,2026-07-05,2026-07-18,2 Weeks,July,AirAsia,1,2026-02-03T15:15:31.774631
"Puducherry, India",204.0,2026-07-24,2026-08-07,2 Weeks,July,Scoot,0,2026-02-03T15:15:31.774636
"Sapporo, Japan",565.0,2026-07-02,2026-07-16,2 Weeks,July,Cathay Pacific,1,2026-02-03T15:15:31.774644
"Boracay, Philippines",256.0,2026-07-06,2026-07-19,2 Weeks,July,Cebu Pacific,1,2026-02-03T15:15:31.774657
"Cebu City, Philippines",214.0,2026-07-02,2026-07-16,2 Weeks,July,Cebu Pacific,0,2026-02-03T15:15:31.774665
"Kaziranga National Park, India",351.0,2026-07-02,2026-07-15,2 Weeks,July,Air India and Air India Express,1,2026-02-03T15:15:31.774681
"Guwahati, India",351.0,2026-07-02,2026-07-15,2 Weeks,July,Air India and Air India Express,1,2026-02-03T15:15:31.774692
"Niseko, Japan",565.0,2026-07-02,2026-07-16,2 Weeks,July,Cathay Pacific,1,2026-02-03T15:15:31.774702
"Almaty, Kazakhstan",733.0,2026-07-03,2026-07-16,2 Weeks,July,"AirAsia, AirAsia X, Thai AirAsia, and Thai AirAsia X",1,2026-02-03T15:15:31.774711
"Guam, Guam",747.0,2026-07-02,2026-07-15,2 Weeks,July,Philippine Airlines,1,2026-02-03T15:15:31.774722
"Harbin, China",441.0,2026-07-03,2026-07-16,2 Weeks,July,China Southern and Chongqing Airlines,2,2026-02-03T15:15:31.774734
"Issyk Kul, Kyrgyzstan",733.0,2026-07-03,2026-07-16,2 Weeks,July,"AirAsia, AirAsia X, Thai AirAsia, and Thai AirAsia X",1,2026-02-03T15:15:31.774757
"Tokyo, Japan",410.0,2026-02-08,2026-02-14,1 Week,February,Air Japan,0,2026-02-04T07:15:54.414995
"Taipei City, Taiwan",238.0,2026-02-08,2026-02-14,1 Week,February,Scoot,0,2026-02-04T07:15:54.415014
"Seoul, South Korea",354.0,2026-02-09,2026-02-17,1 Week,February,Jeju Air and Scoot,0,2026-02-04T07:15:54.415019
"Hong Kong, Hong Kong",375.0,2026-02-05,2026-02-11,1 Week,February,Cathay Pacific,0,2026-02-04T07:15:54.415022
"Kyoto, Japan",366.0,2026-02-05,2026-02-13,1 Week,February,Peach Aviation and Scoot,0,2026-02-04T07:15:54.415026
"Bangkok, Thailand",162.0,2026-02-23,2026-03-04,1 Week,February,Scoot,0,2026-02-04T07:15:54.415031
"Osaka, Japan",366.0,2026-02-05,2026-02-13,1 Week,February,Peach Aviation and Scoot,0,2026-02-04T07:15:54.415035
"Hanoi, Vietnam",217.0,2026-02-27,2026-03-06,1 Week,February,Scoot and Vietjet,0,2026-02-04T07:15:54.415044
"Ho Chi Minh City, Vietnam",152.0,2026-02-27,2026-03-08,1 Week,February,Vietjet,0,2026-02-04T07:15:54.415048
"Mumbai, India",307.0,2026-02-09,2026-02-16,1 Week,February,IndiGo,0,2026-02-04T07:15:54.415058
"New Delhi, India",358.0,2026-02-26,2026-03-06,1 Week,February,"IndiGo, Thai AirAsia, and Thai AirAsia X",1,2026-02-04T07:15:54.415062
"Federal Territory of Kuala Lumpur, Malaysia",98.0,2026-02-23,2026-03-04,1 Week,February,AirAsia,0,2026-02-04T07:15:54.415066
"Dubai, United Arab Emirates",480.0,2026-02-21,2026-03-02,1 Week,February,IndiGo and Air India,1,2026-02-04T07:15:54.415069
"Chiang Mai, Thailand",265.0,2026-02-26,2026-03-06,1 Week,February,Scoot,0,2026-02-04T07:15:54.415072
"Jaipur, India",271.0,2026-02-08,2026-02-16,1 Week,February,IndiGo,1,2026-02-04T07:15:54.415075
"Phuket, Thailand",143.0,2026-02-26,2026-03-04,1 Week,February,Scoot,0,2026-02-04T07:15:54.415078
"Goa, India",245.0,2026-02-23,2026-03-02,1 Week,February,Air India and Air India Express,1,2026-02-04T07:15:54.415082
"Beijing, China",405.0,2026-02-16,2026-02-24,1 Week,February,Cathay Pacific,1,2026-02-04T07:15:54.415085
"Shanghai, China",364.0,2026-02-16,2026-02-25,1 Week,February,Spring,0,2026-02-04T07:15:54.415088
"Hội An, Vietnam",220.0,2026-02-23,2026-03-04,1 Week,February,Batik Air and Vietjet,1,2026-02-04T07:15:54.415095
"Bengaluru, India",191.0,2026-02-26,2026-03-04,1 Week,February,Air India and Air India Express,1,2026-02-04T07:15:54.415099
"Hạ Long Bay, Vietnam",217.0,2026-02-27,2026-03-06,1 Week,February,Scoot and Vietjet,0,2026-02-04T07:15:54.415102
"Abu Dhabi, United Arab Emirates",480.0,2026-02-21,2026-03-02,1 Week,February,IndiGo and Air India,1,2026-02-04T07:15:54.415106
"Chennai, India",177.0,2026-02-26,2026-03-04,1 Week,February,Air India and Air India Express,2,2026-02-04T07:15:54.415109
"Varanasi, India",324.0,2026-02-23,2026-03-04,1 Week,February,Air India and Air India Express,1,2026-02-04T07:15:54.415151
"Agra, India",357.0,2026-02-26,2026-03-05,1 Week,February,IndiGo and Batik Air,1,2026-02-04T07:15:54.415157
"Udaipur, India",311.0,2026-02-23,2026-03-02,1 Week,February,Air India,1,2026-02-04T07:15:54.415160
"Ko Samui, Thailand",366.0,2026-02-07,2026-02-13,1 Week,February,Scoot,0,2026-02-04T07:15:54.415164
"Kolkata, India",244.0,2026-02-22,2026-03-03,1 Week,February,Air India and Air India Express,1,2026-02-04T07:15:54.415167
"Kochi, India",264.0,2026-02-26,2026-03-05,1 Week,February,IndiGo,1,2026-02-04T07:15:54.415177
"Kathmandu, Nepal",498.0,2026-02-23,2026-03-04,1 Week,February,Air India and Thai Lion Air,1,2026-02-04T07:15:54.415180
"Manila, Philippines",230.0,2026-02-26,2026-03-06,1 Week,February,Philippine Airlines,0,2026-02-04T07:15:54.415183
"Bahrain, Bahrain",804.0,2026-02-15,2026-02-24,1 Week,February,Gulf Air,0,2026-02-04T07:15:54.415187
"Macao, Macao",350.0,2026-02-28,2026-03-09,1 Week,February,AirAsia and Scoot,1,2026-02-04T07:15:54.415191
"Hyderabad, India",235.0,2026-02-26,2026-03-05,1 Week,February,IndiGo,0,2026-02-04T07:15:54.415206
"Shimla, India",320.0,2026-02-20,2026-03-01,1 Week,February,Air India,1,2026-02-04T07:15:54.415209
"Da Nang, Vietnam",220.0,2026-02-23,2026-03-04,1 Week,February,Batik Air and Vietjet,1,2026-02-04T07:15:54.415212
"Phi Phi Islands, Thailand",143.0,2026-02-26,2026-03-04,1 Week,February,Scoot,0,2026-02-04T07:15:54.415215
"Rishikesh, India",356.0,2026-02-05,2026-02-12,1 Week,February,Air India,1,2026-02-04T07:15:54.415218
"Manali, India",320.0,2026-02-20,2026-02-26,1 Week,February,Air India,1,2026-02-04T07:15:54.415225
"Jodhpur, India",318.0,2026-02-27,2026-03-06,1 Week,February,Air India,1,2026-02-04T07:15:54.415229
"Munnar, India",264.0,2026-02-26,2026-03-05,1 Week,February,IndiGo,1,2026-02-04T07:15:54.415233
"Phú Quốc, Vietnam",219.0,2026-02-26,2026-03-04,1 Week,February,Vietjet,0,2026-02-04T07:15:54.415237
"Ranthambore National Park, India",271.0,2026-02-08,2026-02-16,1 Week,February,IndiGo,1,2026-02-04T07:15:54.415241
"Colombo, Sri Lanka",410.0,2026-02-23,2026-03-03,1 Week,February,AirAsia,1,2026-02-04T07:15:54.415249
"Puducherry, India",177.0,2026-02-26,2026-03-04,1 Week,February,Air India and Air India Express,2,2026-02-04T07:15:54.415255
"Sapporo, Japan",688.0,2026-02-08,2026-02-15,1 Week,February,Cathay Pacific,1,2026-02-04T07:15:54.415259
"Chengdu, China",581.0,2026-02-20,2026-02-26,1 Week,February,Malaysia Airlines,1,2026-02-04T07:15:54.415261
"Xi'An, China",458.0,2026-02-06,2026-02-15,1 Week,February,Shandong,1,2026-02-04T07:15:54.415263
"Boracay, Philippines",316.0,2026-02-26,2026-03-07,1 Week,February,Cebu Pacific,1,2026-02-04T07:15:54.415268
"Cebu City, Philippines",274.0,2026-02-26,2026-03-07,1 Week,February,Cebu Pacific,0,2026-02-04T07:15:54.415270
"Kaziranga National Park, India",338.0,2026-02-27,2026-03-05,1 Week,February,Air India and Air India Express,1,2026-02-04T07:15:54.415272
"Guwahati, India",338.0,2026-02-27,2026-03-05,1 Week,February,Air India and Air India Express,1,2026-02-04T07:15:54.415274
"Tashkent, Uzbekistan",661.0,2026-02-20,2026-02-27,1 Week,February,"AirAsia, AirAsia X, and Batik Air",1,2026-02-04T07:15:54.415277
"Niseko, Japan",688.0,2026-02-08,2026-02-15,1 Week,February,Cathay Pacific,1,2026-02-04T07:15:54.415279
"Almaty, Kazakhstan",830.0,2026-02-26,2026-03-05,1 Week,February,"AirAsia, AirAsia X, Thai AirAsia, and Thai AirAsia X",1,2026-02-04T07:15:54.415281
"Guam, Guam",686.0,2026-02-05,2026-02-11,1 Week,February,Philippine Airlines,1,2026-02-04T07:15:54.415283
"Tehran, Iran",1314.0,2026-02-26,2026-03-05,1 Week,February,XiamenAir and Qatar Airways,2,2026-02-04T07:15:54.415285
"Yangmingshan National Park, Taiwan",238.0,2026-02-08,2026-02-14,1 Week,February,Scoot,0,2026-02-04T07:15:54.415287
"Ras Al-Khaimah, United Arab Emirates",480.0,2026-02-21,2026-03-02,1 Week,February,IndiGo and Air India,1,2026-02-04T07:15:54.415291
"Harbin, China",536.0,2026-02-19,2026-02-28,1 Week,February,Shenzhen,1,2026-02-04T07:15:54.415293
"Ulaanbaatar, Mongolia",967.0,2026-02-14,2026-02-21,1 Week,February,MIAT,0,2026-02-04T07:15:54.415295
"Furano, Japan",688.0,2026-02-08,2026-02-15,1 Week,February,Cathay Pacific,1,2026-02-04T07:15:54.415298
"Issyk Kul, Kyrgyzstan",830.0,2026-02-26,2026-03-05,1 Week,February,"AirAsia, AirAsia X, Thai AirAsia, and Thai AirAsia X",1,2026-02-04T07:15:54.415301
"Asahikawa, Japan",688.0,2026-02-08,2026-02-15,1 Week,February,Cathay Pacific,1,2026-02-04T07:15:54.415304
"Ürümqi, China",665.0,2026-02-28,2026-03-06,1 Week,February,XiamenAir,2,2026-02-04T07:15:54.415306
"Padang, Indonesia",184.0,2026-02-23,2026-03-03,1 Week,February,Scoot,0,2026-02-04T07:15:54.415309
"Gorkhi Terelj National Park, Mongolia",967.0,2026-02-14,2026-02-21,1 Week,February,MIAT,0,2026-02-04T07:15:54.415311
"Tokyo, Japan",369.0,2026-05-02,2026-05-11,1 Week,May,"AirAsia, AirAsia X, and Scoot",1,2026-02-04T07:16:30.303318
"Hanoi, Vietnam",211.0,2026-05-07,2026-05-13,1 Week,May,Scoot,0,2026-02-04T07:16:30.303332
"Hong Kong, Hong Kong",281.0,2026-05-14,2026-05-21,1 Week,May,Scoot,0,2026-02-04T07:16:30.303336
"Hạ Long Bay, Vietnam",200.0,2026-05-07,2026-05-14,1 Week,May,Scoot,0,2026-02-04T07:16:30.303340
"Bangkok, Thailand",148.0,2026-05-11,2026-05-20,1 Week,May,Thai Lion Air,0,2026-02-04T07:16:30.303344
"Seoul, South Korea",330.0,2026-05-11,2026-05-20,1 Week,May,Cebu Pacific and Scoot,1,2026-02-04T07:16:30.303347
"Ho Chi Minh City, Vietnam",152.0,2026-05-07,2026-05-13,1 Week,May,Vietjet,0,2026-02-04T07:16:30.303350
"Mumbai, India",299.0,2026-05-30,2026-06-08,1 Week,May,Air India and Air India Express,2,2026-02-04T07:16:30.303353
"New Delhi, India",362.0,2026-05-21,2026-05-27,1 Week,May,IndiGo,1,2026-02-04T07:16:30.303356
"Federal Territory of Kuala Lumpur, Malaysia",98.0,2026-05-10,2026-05-16,1 Week,May,AirAsia,0,2026-02-04T07:16:30.303360
"Dubai, United Arab Emirates",559.0,2026-05-01,2026-05-10,1 Week,May,Gulf Air,1,2026-02-04T07:16:30.303363
"Kyoto, Japan",414.0,2026-05-02,2026-05-08,1 Week,May,Peach Aviation and Scoot,0,2026-02-04T07:16:30.303367
"Chiang Mai, Thailand",265.0,2026-05-03,2026-05-09,1 Week,May,Scoot,0,2026-02-04T07:16:30.303371
"Jaipur, India",279.0,2026-05-04,2026-05-11,1 Week,May,Air India and Air India Express,1,2026-02-04T07:16:30.303374
"Phuket, Thailand",143.0,2026-05-14,2026-05-20,1 Week,May,Scoot,0,2026-02-04T07:16:30.303378
"Chennai, India",177.0,2026-05-04,2026-05-13,1 Week,May,Air India and Air India Express,2,2026-02-04T07:16:30.303397
"Goa, India",247.0,2026-05-04,2026-05-12,1 Week,May,Air India and Air India Express,1,2026-02-04T07:16:30.303402
"Beijing, China",395.0,2026-05-03,2026-05-10,1 Week,May,Singapore Airlines,0,2026-02-04T07:16:30.303406
"Osaka, Japan",414.0,2026-05-02,2026-05-08,1 Week,May,Peach Aviation and Scoot,0,2026-02-04T07:16:30.303410
"Shanghai, China",273.0,2026-05-01,2026-05-07,1 Week,May,Spring,0,2026-02-04T07:16:30.303414
"Hội An, Vietnam",186.0,2026-05-07,2026-05-13,1 Week,May,Vietjet,0,2026-02-04T07:16:30.303418
"Bengaluru, India",191.0,2026-05-07,2026-05-13,1 Week,May,Air India and Air India Express,1,2026-02-04T07:16:30.303422
"Abu Dhabi, United Arab Emirates",559.0,2026-05-01,2026-05-09,1 Week,May,Gulf Air,1,2026-02-04T07:16:30.303431
"Taipei City, Taiwan",192.0,2026-05-02,2026-05-08,1 Week,May,Scoot,0,2026-02-04T07:16:30.303435
"Varanasi, India",324.0,2026-05-04,2026-05-11,1 Week,May,Air India and Air India Express,1,2026-02-04T07:16:30.303438
"Agra, India",362.0,2026-05-21,2026-05-27,1 Week,May,IndiGo,1,2026-02-04T07:16:30.303441
"Udaipur, India",307.0,2026-05-11,2026-05-20,1 Week,May,Air India,1,2026-02-04T07:16:30.303445
"Ko Samui, Thailand",330.0,2026-05-03,2026-05-10,1 Week,May,Scoot,0,2026-02-04T07:16:30.303448
"Kolkata, India",240.0,2026-05-07,2026-05-13,1 Week,May,Air India and Air India Express,1,2026-02-04T07:16:30.303451
"Kochi, India",267.0,2026-05-07,2026-05-13,1 Week,May,Air India,1,2026-02-04T07:16:30.303454
"Kathmandu, Nepal",571.0,2026-05-15,2026-05-24,1 Week,May,Air India and Thai Lion Air,1,2026-02-04T07:16:30.303457
"Manila, Philippines",216.0,2026-05-11,2026-05-19,1 Week,May,Cebu Pacific,0,2026-02-04T07:16:30.303460
"Bahrain, Bahrain",668.0,2026-05-08,2026-05-17,1 Week,May,Malaysia Airlines and Oman Air,2,2026-02-04T07:16:30.303466
"Macao, Macao",284.0,2026-05-11,2026-05-19,1 Week,May,Thai Lion Air,1,2026-02-04T07:16:30.303473
"Hyderabad, India",261.0,2026-05-07,2026-05-13,1 Week,May,Air India,1,2026-02-04T07:16:30.303476
"Shimla, India",300.0,2026-05-21,2026-05-27,1 Week,May,Air India,1,2026-02-04T07:16:30.303480
"Da Nang, Vietnam",186.0,2026-05-07,2026-05-13,1 Week,May,Vietjet,0,2026-02-04T07:16:30.303484
"Rishikesh, India",329.0,2026-05-21,2026-05-27,1 Week,May,Air India,1,2026-02-04T07:16:30.303488
"Manali, India",300.0,2026-05-21,2026-05-27,1 Week,May,Air India,1,2026-02-04T07:16:30.303492
"Jodhpur, India",333.0,2026-05-07,2026-05-14,1 Week,May,Air India,1,2026-02-04T07:16:30.303495
"Munnar, India",267.0,2026-05-07,2026-05-13,1 Week,May,Air India,1,2026-02-04T07:16:30.303498
"Phú Quốc, Vietnam",175.0,2026-05-10,2026-05-16,1 Week,May,Vietjet,0,2026-02-04T07:16:30.303501
"Ranthambore National Park, India",279.0,2026-05-04,2026-05-11,1 Week,May,Air India and Air India Express,1,2026-02-04T07:16:30.303508
"Colombo, Sri Lanka",309.0,2026-05-11,2026-05-18,1 Week,May,AirAsia,1,2026-02-04T07:16:30.303511
"Puducherry, India",177.0,2026-05-04,2026-05-13,1 Week,May,Air India and Air India Express,2,2026-02-04T07:16:30.303515
"Sapporo, Japan",537.0,2026-05-10,2026-05-19,1 Week,May,Scoot and T'Way Air,1,2026-02-04T07:16:30.303522
"Chengdu, China",289.0,2026-05-07,2026-05-13,1 Week,May,AirAsia and AirAsia X,1,2026-02-04T07:16:30.303526
"Xi'An, China",350.0,2026-05-02,2026-05-11,1 Week,May,Thai Lion Air and Scoot,1,2026-02-04T07:16:30.303529
"Boracay, Philippines",270.0,2026-05-28,2026-06-04,1 Week,May,Cebu Pacific,1,2026-02-04T07:16:30.303532
"Cebu City, Philippines",218.0,2026-05-07,2026-05-13,1 Week,May,Cebu Pacific,1,2026-02-04T07:16:30.303535
"Kaziranga National Park, India",324.0,2026-05-18,2026-05-24,1 Week,May,Air India and Air India Express,1,2026-02-04T07:16:30.303539
"Guwahati, India",324.0,2026-05-18,2026-05-24,1 Week,May,Air India and Air India Express,1,2026-02-04T07:16:30.303542
"Tashkent, Uzbekistan",678.0,2026-05-04,2026-05-11,1 Week,May,AirAsia and AirAsia X,1,2026-02-04T07:16:30.303549
"Niseko, Japan",537.0,2026-05-10,2026-05-19,1 Week,May,Scoot and T'Way Air,1,2026-02-04T07:16:30.303552
